n_wait,rep_n,agent_type,p_delayed
1,8,MB,0.7083676017709116
1,8,MF,0.9883501929573905
1,9,MB,0.680324501209479
1,9,MF,0.9883502319155375
1,10,MB,0.7152381547700517
1,10,MF,0.9923309144522627
1,11,MB,0.7203797837204755
1,11,MF,0.2182570355344537
1,12,MB,0.6916476924044913
1,12,MF,0.9992284616868106
1,13,MB,0.7172179033486019
1,13,MF,0.9911323328467184
1,14,MB,0.7116491958645852
1,14,MF,0.988350233003506
1,15,MB,0.7167087303947238
1,15,MF,0.9952190431996314
1,16,MB,0.712024590211546
1,16,MF,0.9883494828066479
1,17,MB,0.6972725754552597
1,17,MF,0.9882792286456182
1,18,MB,0.7212353477414173
1,18,MF,0.9992284516093835
1,19,MB,0.6974730518539723
1,19,MF,0.9883502157066242
1,20,MB,0.7027317534675401
1,20,MF,0.9992264707484035
1,21,MB,0.7192666751562696
1,21,MF,0.9992284576617223
1,22,MB,0.7124638023967598
1,22,MF,0.0280196414298912
1,23,MB,0.6857428649426853
1,23,MF,0.9798335518845969
1,24,MB,0.6417678298795827
1,24,MF,0.9992264707440914
1,25,MB,0.7234393723481307
1,25,MF,0.9992284620017008
1,26,MB,0.7147823359143451
1,26,MF,0.6459129352132906
1,27,MB,0.7097927112972929
1,27,MF,0.988320270491728
1,28,MB,0.7057754934762315
1,28,MF,0.9921427323216364
1,29,MB,0.7132106180071098
1,29,MF,0.9883204509487474
1,30,MB,0.7023857842669718
1,30,MF,0.028019565370841524
1,31,MB,0.6755524925779238
1,31,MF,0.9923315876120885
1,32,MB,0.7171923956939833
1,32,MF,0.9923005188144279
1,33,MB,0.7179578088806711
1,33,MF,0.9486116957552981
1,34,MB,0.7015429764075196
1,34,MF,0.9922665187637529
1,35,MB,0.7061743552931034
1,35,MF,0.9923319623425789
1,36,MB,0.6663524954349137
1,36,MF,0.9952190224842103
1,37,MB,0.7139142684561501
1,37,MF,0.9922652946343902
1,38,MB,0.7213003825779555
1,38,MF,0.988349861609461
1,39,MB,0.693036771208522
1,39,MF,0.9923319609636638
1,40,MB,0.7010223711163893
1,40,MF,0.027332944055566962
1,41,MB,0.7077368135061571
1,41,MF,0.02801964143010597
1,42,MB,0.7040221612773645
1,42,MF,0.9992284620000633
1,43,MB,0.6993292679315812
1,43,MF,0.9883320632319134
1,44,MB,0.7175339171262523
1,44,MF,0.9883148447199391
1,45,MB,0.7028655259048862
1,45,MF,0.9992236573910656
1,46,MB,0.6949614878095843
1,46,MF,0.9922663613246608
1,47,MB,0.6902017919574805
1,47,MF,0.9923165897861054
1,48,MB,0.7080752613800305
1,48,MF,0.9992284620017008
1,49,MB,0.7132001955757286
1,49,MF,0.98831918397732
1,50,MB,0.6971777136274546
1,50,MF,0.9922599727023438
1,51,MB,0.698702610232072
1,51,MF,0.9922996715819719
1,52,MB,0.6898272600029568
1,52,MF,0.6463209520010247
1,53,MB,0.6752738388665479
1,53,MF,0.9923312566248355
1,54,MB,0.7036973478128093
1,54,MF,0.9883502321906449
1,55,MB,0.7015695473558726
1,55,MF,0.9883500791104567
1,56,MB,0.7219999050675265
1,56,MF,0.02412563016703675
1,57,MB,0.6911076368405416
1,57,MF,0.9992284619473448
1,58,MB,0.7085849364140745
1,58,MF,0.9883123283619366
1,59,MB,0.695255568230637
1,59,MF,0.9883123396017347
1,60,MB,0.7181881745055143
1,60,MF,0.9883376240536487
1,61,MB,0.6993866501989812
1,61,MF,0.995147466469466
1,62,MB,0.7010295603132138
1,62,MF,0.98556151515138
1,63,MB,0.7022079831292044
1,63,MF,0.22930364539484885
1,64,MB,0.7193246048120919
1,64,MF,0.9923319576415446
1,65,MB,0.6975121357488916
1,65,MF,0.9883491336586776
1,66,MB,0.6865494178196194
1,66,MF,0.9855132881534208
1,67,MB,0.7214771194876489
1,67,MF,0.9992284620017008
1,68,MB,0.7175906211671409
1,68,MF,0.9923195875665098
1,69,MB,0.6747154855708712
1,69,MF,0.9923195184298138
1,70,MB,0.7039701282593417
1,70,MF,0.9912356982788155
1,71,MB,0.7119624954752265
1,71,MF,0.9992284620016921
1,72,MB,0.7150970077045284
1,72,MF,0.9952190604749983
1,73,MB,0.7194555736711701
1,73,MF,0.9992284576720405
1,74,MB,0.7154998236077782
1,74,MF,0.9881061247378233
1,75,MB,0.7045682392504786
1,75,MF,0.992331962343787
1,76,MB,0.727217059782816
1,76,MF,0.9923318973237619
1,77,MB,0.6987202956773556
1,77,MF,0.64749888123328
1,78,MB,0.6971449456145092
1,78,MF,0.650004169121606
1,79,MB,0.7136066278455864
1,79,MF,0.9951052381088296
1,80,MB,0.7177601119009953
1,80,MF,0.9798334006552131
1,81,MB,0.7106059265254014
1,81,MF,0.9923009748441044
1,82,MB,0.7112897065908118
1,82,MF,0.9798326795353094
1,83,MB,0.716277656366609
1,83,MF,0.9883500807795714
1,84,MB,0.7159210739256966
1,84,MF,0.9883413304472757
1,85,MB,0.7121163269222563
1,85,MF,0.9883464643749956
1,86,MB,0.6809264670322613
1,86,MF,0.9922566126667536
1,87,MB,0.7156780849033103
1,87,MF,0.9923247742964905
1,88,MB,0.6995361988735205
1,88,MF,0.9992236688589312
1,89,MB,0.6865205448685614
1,89,MF,0.988266740405739
1,90,MB,0.696414445879965
1,90,MF,0.9923319620037888
1,91,MB,0.70950469386333
1,91,MF,0.9881637801897784
1,92,MB,0.6908061709022082
1,92,MF,0.9923319310890346
1,93,MB,0.6926889505089295
1,93,MF,0.028018141934182464
1,94,MB,0.6861278450386259
1,94,MF,0.9882785338003404
1,95,MB,0.6829088248366482
1,95,MF,0.9946273190111021
1,96,MB,0.6973315332269998
1,96,MF,0.995200788629057
1,97,MB,0.7020942681070274
1,97,MF,0.6501065677461549
1,98,MB,0.6427179489814148
1,98,MF,0.98872549776195
1,99,MB,0.7081255171798421
1,99,MF,0.9883493456629268
2,0,MB,0.37179520973959784
2,0,MF,0.24874511662426665
2,1,MB,0.3917081129297483
2,1,MF,0.9767258136952404
2,2,MB,0.4102980142251218
2,2,MF,0.003028454154117137
2,3,MB,0.3917355654945004
2,3,MF,0.9881076438544912
2,4,MB,0.4195975876825594
2,4,MF,0.014009820713994182
2,5,MB,0.3580955121418035
2,5,MF,0.012032792066190911
2,6,MB,0.3293334139069479
2,6,MF,0.9398733046446237
2,7,MB,0.3319671244504512
2,7,MF,0.9807321857499156
2,8,MB,0.35259069904334234
2,8,MF,0.9807257876550025
2,9,MB,0.3748662862281216
2,9,MF,0.9807190637144279
2,10,MB,0.4162098774310262
2,10,MF,0.1998978576258581
2,11,MB,0.3720072372760832
2,11,MF,0.2497229938322776
2,12,MB,0.35582738860642793
2,12,MF,0.9915546127394195
2,13,MB,0.4217422105779171
2,13,MF,0.9767159793854313
2,14,MB,0.36086649010558813
2,14,MF,0.012712290467407352
2,15,MB,0.40291655428781253
2,15,MF,0.004657690484362102
2,16,MB,0.3871155719214527
2,16,MF,0.5851483044000135
2,17,MB,0.4010562058847152
2,17,MF,0.8736598514345042
2,18,MB,0.3811933686071722
2,18,MF,0.9934103345415295
2,19,MB,0.3539644120918975
2,19,MF,0.980651812636259
2,20,MB,0.3659822525405674
2,20,MF,0.97670513190783
2,21,MB,0.3896930068973502
2,21,MF,0.9876173276047426
2,22,MB,0.35415950420360254
2,22,MF,0.975558402024987
2,23,MB,0.38996381329360413
2,23,MF,0.9875827761138513
2,24,MB,0.3466981327004078
2,24,MF,0.009266042806126303
2,25,MB,0.3650349406182512
2,25,MF,0.9772259680408817
2,26,MB,0.3650246622623104
2,26,MF,0.013354092566296211
2,27,MB,0.37777777947650615
2,27,MF,0.004621104146449637
2,28,MB,0.3734303831283483
2,28,MF,0.00288797315276076
2,29,MB,0.37157506228415893
2,29,MF,0.012729809562051504
2,30,MB,0.3108430351440629
2,30,MF,0.41148660562444334
2,31,MB,0.3726851076460426
2,31,MF,0.9984467154201326
2,32,MB,0.41770650675671533
2,32,MF,0.9807108963372212
2,33,MB,0.3645085009951678
2,33,MF,0.9873704819218995
2,34,MB,0.38522564491232236
2,34,MF,0.0038592483569136996
2,35,MB,0.38645893922009
2,35,MF,0.998452942365223
2,36,MB,0.2917977965157007
2,36,MF,0.9873001799504851
2,37,MB,0.40917062150612094
2,37,MF,0.06811888500169179
2,38,MB,0.37845643784437183
2,38,MF,0.014005501371009066
2,39,MB,0.37586203423111186
2,39,MF,0.012607112328064165
2,40,MB,0.3678063722154452
2,40,MF,0.9943748330501447
2,41,MB,0.3934423410123456
2,41,MF,0.8743480001710477
2,42,MB,0.3194808520063461
2,42,MF,0.987552299196466
2,43,MB,0.2888749587189677
2,43,MF,0.0014395994797563952
2,44,MB,0.41827493339079996
2,44,MF,0.9422889661810325
2,45,MB,0.31881252330341453
2,45,MF,0.9230761907407113
2,46,MB,0.3267695517583425
2,46,MF,0.9824987524824356
2,47,MB,0.39890727547241184
2,47,MF,0.099440904170099
2,48,MB,0.40566478617724183
2,48,MF,0.029293631335307217
2,49,MB,0.3117630804708878
2,49,MF,0.01265337356717468
2,50,MB,0.37899410062163424
2,50,MF,0.9875447453974441
2,51,MB,0.41036951675614197
2,51,MF,0.005665858649243456
2,52,MB,0.4001211374413105
2,52,MF,0.012653198095539138
2,53,MB,0.3892528377746934
2,53,MF,0.012556228903769121
2,54,MB,0.3829208506709951
2,54,MF,0.01271733858190078
2,55,MB,0.3856317386143683
2,55,MF,0.012632907395569945
2,56,MB,0.38177923400552183
2,56,MF,0.9807325672444581
2,57,MB,0.31402503905243606
2,57,MF,0.004020946561758751
2,58,MB,0.41140289622232845
2,58,MF,0.9807257783795177
2,59,MB,0.31665107328928055
2,59,MF,0.5600546172729098
2,60,MB,0.3748729044875051
2,60,MF,0.01199986214947909
2,61,MB,0.43148915647409036
2,61,MF,0.9807313704481562
2,62,MB,0.3861193384992107
2,62,MF,0.0044873157367663905
2,63,MB,0.38503751840345396
2,63,MF,0.013984939244129552
2,64,MB,0.35416903856795584
2,64,MF,0.9984411466095136
2,65,MB,0.3818694662229766
2,65,MF,0.9875980137283237
2,66,MB,0.3861266612562225
2,66,MF,0.9841368626322402
2,67,MB,0.3436327826576866
2,67,MF,0.976787905396917
2,68,MB,0.3652889452741444
2,68,MF,0.9767602480593753
2,69,MB,0.3495999193140031
2,69,MF,0.014005096772635969
2,70,MB,0.3619502500492307
2,70,MF,0.980443689737298
2,71,MB,0.3503596222133514
2,71,MF,0.9773971174860091
2,72,MB,0.35660105093058386
2,72,MF,0.987499986431068
2,73,MB,0.3556767172515736
2,73,MF,0.012635176575592216
2,74,MB,0.38437466063723547
