rep_n,trial_n,agent_type,a1,a2,stay,r,last_r,last_trans
0,163,MF,left,right,0,1,1,common
0,164,MF,left,right,1,0,1,rare
0,165,MF,left,right,1,0,0,common
0,166,MF,right,right,0,1,0,rare
0,167,MF,left,left,0,1,1,common
0,168,MF,right,left,0,0,1,rare
0,169,MF,right,right,1,1,0,common
0,170,MF,right,left,1,1,1,common
0,171,MF,left,right,0,1,1,rare
0,172,MF,left,left,1,0,1,rare
0,173,MF,left,right,1,1,0,common
0,174,MF,right,right,0,1,1,rare
0,175,MF,right,right,1,1,1,rare
0,176,MF,right,right,1,0,1,rare
0,177,MF,left,right,0,1,0,rare
0,178,MF,right,right,0,0,1,common
0,179,MF,left,left,0,0,0,rare
0,180,MF,right,right,0,0,0,common
0,181,MF,right,left,1,1,0,common
0,182,MF,left,right,0,0,1,common
0,183,MF,left,right,1,0,0,common
0,184,MF,right,left,0,1,0,common
0,185,MF,right,left,1,0,1,rare
0,186,MF,right,right,1,1,0,common
0,187,MF,right,right,1,1,1,common
0,188,MF,right,right,1,1,1,common
0,189,MF,left,right,0,0,1,common
0,190,MF,right,right,0,1,0,rare
0,191,MF,right,left,1,0,1,common
0,192,MF,left,right,0,0,0,common
0,193,MF,left,right,1,1,0,common
0,194,MF,left,right,1,0,1,rare
0,195,MF,right,left,0,1,0,common
0,196,MF,left,right,0,0,1,common
0,197,MF,left,left,1,1,0,rare
0,198,MF,right,left,0,1,1,common
0,199,MF,right,left,1,0,1,common
0,200,MF,left,left,0,0,0,common
0,201,MF,right,left,0,1,0,common
0,202,MF,left,left,0,1,1,common
0,203,MF,left,left,1,0,1,common
0,204,MF,left,left,1,1,0,rare
0,205,MF,left,left,1,0,1,common
0,206,MF,left,left,1,1,0,common
0,207,MF,left,left,1,1,1,common
0,208,MF,right,left,0,1,1,rare
0,209,MF,left,right,0,0,1,common
0,210,MF,right,left,0,1,0,common
0,211,MF,right,left,1,0,1,common
0,212,MF,left,left,0,1,0,common
0,213,MF,right,right,0,0,1,common
0,214,MF,right,right,1,1,0,rare
0,215,MF,right,right,1,1,1,common
0,216,MF,left,left,0,1,1,common
0,217,MF,right,left,0,0,1,common
0,218,MF,left,left,0,1,0,common
0,219,MF,right,right,0,0,1,common
0,220,MF,right,left,1,0,0,common
0,221,MF,left,right,0,1,0,common
0,222,MF,left,right,1,1,1,rare
0,223,MF,left,left,1,1,1,rare
0,224,MF,left,right,1,1,1,common
0,225,MF,right,left,0,1,1,rare
0,226,MF,right,left,1,0,1,rare
0,227,MF,right,right,1,1,0,rare
0,228,MF,right,right,1,0,1,common
0,229,MF,right,right,1,0,0,common
0,230,MF,left,left,0,1,0,common
0,231,MF,left,left,1,1,1,common
0,232,MF,right,left,0,0,1,common
0,233,MF,left,left,0,1,0,common
0,234,MF,right,left,0,0,1,common
0,235,MF,left,right,0,1,0,common
0,236,MF,left,right,1,1,1,rare
0,237,MF,left,left,1,1,1,rare
0,238,MF,right,right,0,1,1,common
0,239,MF,left,left,0,0,1,common
0,240,MF,left,right,1,1,0,common
0,241,MF,left,left,1,1,1,rare
0,242,MF,left,left,1,0,1,common
0,243,MF,left,left,1,1,0,common
0,244,MF,right,left,0,1,1,common
0,245,MF,left,left,0,1,1,rare
0,246,MF,right,right,0,0,1,common
0,247,MF,right,left,1,1,0,common
0,248,MF,right,left,1,1,1,rare
0,249,MF,right,left,1,0,1,rare
0,0,MB,left,left,0,0,,
0,1,MB,left,left,1,0,0,common
0,2,MB,right,right,0,0,0,common
0,3,MB,left,left,0,1,0,rare
0,4,MB,right,left,0,0,1,rare
0,5,MB,right,right,1,0,0,common
0,6,MB,left,left,0,1,0,common
0,7,MB,left,left,1,1,1,rare
0,8,MB,left,left,1,1,1,rare
0,9,MB,right,right,0,0,1,common
0,10,MB,left,right,0,0,0,rare
0,11,MB,right,right,0,0,0,common
0,12,MB,left,right,0,0,0,rare
0,13,MB,right,right,0,0,0,common
0,14,MB,left,left,0,0,0,common
0,15,MB,right,left,0,0,0,common
0,16,MB,left,right,0,0,0,common
0,17,MB,right,left,0,1,0,common
0,18,MB,left,left,0,1,1,rare
0,19,MB,right,right,0,0,1,rare
0,20,MB,left,left,0,0,0,rare
0,21,MB,right,left,0,1,0,common
0,22,MB,left,left,0,1,1,rare
0,23,MB,left,left,1,1,1,common
0,24,MB,right,left,0,1,1,common
0,25,MB,left,left,0,1,1,rare
0,26,MB,left,left,1,1,1,common
0,27,MB,right,right,0,1,1,common
0,28,MB,left,left,0,1,1,common
0,29,MB,right,left,0,1,1,common
0,30,MB,right,left,1,0,1,common
0,31,MB,right,left,1,0,0,common
0,32,MB,left,left,0,1,0,common
0,33,MB,left,right,1,1,1,common
0,34,MB,right,right,0,1,1,rare
0,35,MB,right,right,1,0,1,common
0,36,MB,right,left,1,0,0,common
0,37,MB,left,right,0,0,0,common
0,38,MB,left,left,1,0,0,rare
0,39,MB,left,left,1,0,0,rare
0,40,MB,right,right,0,1,0,rare
0,41,MB,left,left,0,1,1,common
0,42,MB,left,left,1,1,1,common
0,43,MB,right,left,0,1,1,common
0,44,MB,right,right,1,1,1,rare
0,45,MB,left,left,0,1,1,common
0,46,MB,left,left,1,1,1,common
0,47,MB,right,right,0,1,1,common
0,48,MB,left,left,0,1,1,common
0,49,MB,left,right,1,1,1,rare
0,50,MB,right,right,0,0,1,rare
0,51,MB,right,left,1,1,0,common
0,52,MB,right,left,1,0,1,rare
0,53,MB,left,right,0,0,0,common
0,54,MB,left,right,1,1,0,common
0,55,MB,right,right,0,0,1,common
0,56,MB,left,right,0,0,0,common
0,57,MB,right,right,0,1,0,common
0,58,MB,right,right,1,1,1,common
0,59,MB,left,left,0,1,1,common
0,60,MB,right,right,0,1,1,common
0,61,MB,left,right,0,0,1,common
0,62,MB,right,left,0,1,0,common
0,63,MB,left,left,0,1,1,rare
0,64,MB,left,right,1,0,1,common
0,65,MB,right,right,0,1,0,common
0,66,MB,left,right,0,0,1,common
0,67,MB,left,right,1,1,0,common
0,68,MB,right,left,0,1,1,rare
0,69,MB,right,right,1,1,1,rare
0,70,MB,left,left,0,1,1,common
0,71,MB,left,left,1,1,1,common
0,72,MB,left,right,1,0,1,common
0,73,MB,right,left,0,1,0,common
0,74,MB,right,left,1,0,1,rare
0,75,MB,left,right,0,0,0,rare
0,76,MB,left,right,1,0,0,common
0,77,MB,left,left,1,1,0,common
0,78,MB,left,right,1,0,1,common
0,79,MB,right,left,0,0,0,common
0,80,MB,right,left,1,1,0,rare
0,81,MB,right,left,1,1,1,common
0,82,MB,right,left,1,1,1,rare
0,83,MB,right,right,1,0,1,rare
0,84,MB,left,left,0,0,0,common
0,85,MB,right,right,0,0,0,common
0,86,MB,left,right,0,1,0,rare
0,87,MB,left,right,1,0,1,rare
0,88,MB,right,right,0,1,0,common
0,89,MB,left,left,0,0,1,common
0,90,MB,left,right,1,1,0,common
0,91,MB,left,right,1,0,1,rare
0,92,MB,right,right,0,0,0,rare
0,93,MB,right,right,1,1,0,rare
0,94,MB,right,right,1,0,1,common
0,95,MB,right,left,1,1,0,rare
0,96,MB,left,left,0,1,1,rare
0,97,MB,left,left,1,1,1,common
0,98,MB,right,right,0,0,1,rare
0,99,MB,left,right,0,1,0,rare
0,100,MB,right,left,0,1,1,rare
0,101,MB,left,left,0,1,1,common
0,102,MB,left,right,1,1,1,rare
0,103,MB,right,right,0,1,1,rare
0,104,MB,left,left,0,0,1,common
0,105,MB,right,left,0,1,0,common
0,106,MB,right,right,1,0,1,common
0,107,MB,right,left,1,1,0,rare
0,108,MB,left,left,0,1,1,common
0,109,MB,left,left,1,0,1,common
0,110,MB,right,right,0,0,0,rare
0,111,MB,left,left,0,0,0,common
0,112,MB,right,left,0,1,0,common
0,113,MB,right,right,1,1,1,common
0,114,MB,right,left,1,1,1,common
0,115,MB,right,left,1,0,1,common
0,116,MB,right,left,1,1,0,rare
0,117,MB,left,left,0,1,1,common
0,118,MB,left,left,1,0,1,rare
0,119,MB,left,left,1,1,0,common
0,120,MB,right,right,0,0,1,rare
0,121,MB,left,left,0,1,0,rare
0,122,MB,right,right,0,1,1,common
0,123,MB,left,left,0,1,1,common
0,124,MB,left,right,1,0,1,common
0,125,MB,left,right,1,0,0,common
0,126,MB,right,left,0,1,0,common
0,127,MB,right,left,1,1,1,common
0,128,MB,left,left,0,0,1,common
0,129,MB,right,right,0,0,0,common
0,130,MB,left,right,0,0,0,common
0,131,MB,right,left,0,1,0,common
0,132,MB,right,left,1,1,1,common
0,133,MB,left,left,0,0,1,rare
0,134,MB,right,left,0,1,0,common
0,135,MB,right,left,1,0,1,common
0,136,MB,left,right,0,1,0,common
0,137,MB,left,left,1,0,1,common
0,138,MB,right,left,0,0,0,common
0,139,MB,left,left,0,0,0,rare
0,140,MB,right,right,0,1,0,rare
0,141,MB,left,right,0,1,1,rare
0,142,MB,left,right,1,0,1,rare
0,143,MB,left,right,1,0,0,common
0,144,MB,right,right,0,0,0,rare
0,145,MB,left,left,0,1,0,common
0,146,MB,right,left,0,0,1,common
0,147,MB,left,right,0,0,0,common
0,148,MB,right,left,0,0,0,common
0,149,MB,left,left,0,1,0,common
0,150,MB,left,left,1,0,1,common
0,151,MB,right,left,0,0,0,common
0,152,MB,right,left,1,0,0,common
0,153,MB,left,left,0,1,0,common
0,154,MB,right,left,0,0,1,common
0,155,MB,left,right,0,1,0,rare
0,156,MB,left,right,1,1,1,common
0,157,MB,left,right,1,0,1,rare
0,158,MB,left,left,1,1,0,common
0,159,MB,right,right,0,0,1,common
0,160,MB,left,right,0,0,0,common
0,161,MB,right,right,0,0,0,common
0,162,MB,left,left,0,0,0,common
0,163,MB,right,right,0,0,0,common
0,164,MB,right,left,1,0,0,common
0,165,MB,right,right,1,1,0,common
0,166,MB,right,right,1,0,1,rare
0,167,MB,right,right,1,0,0,rare
0,168,MB,right,left,1,0,0,common
0,169,MB,left,left,0,1,0,common
0,170,MB,right,right,0,0,1,common
0,171,MB,left,left,0,1,0,common
0,172,MB,left,left,1,0,1,common
0,173,MB,left,left,1,0,0,rare
0,174,MB,left,right,1,1,0,common
0,175,MB,right,right,0,0,1,rare
0,176,MB,right,right,1,0,0,common
0,177,MB,left,right,0,0,0,common
0,178,MB,right,left,0,1,0,common
0,179,MB,left,left,0,0,1,rare
0,180,MB,right,left,0,0,0,common
0,181,MB,left,right,0,0,0,rare
0,182,MB,left,right,1,0,0,common
0,183,MB,right,left,0,1,0,rare
0,184,MB,left,left,0,0,1,common
0,185,MB,left,right,1,0,0,rare
0,186,MB,right,right,0,0,0,rare
0,187,MB,right,right,1,0,0,common
0,188,MB,left,left,0,1,0,rare
0,189,MB,right,left,0,0,1,rare
