n_wait,rep_n,agent_type,p_delayed
1,88,MF,0.0989093325902046
1,89,MB,0.9876364713878892
1,89,MF,0.9992258622007691
1,90,MB,0.9930209845739776
1,90,MF,0.9881891948758704
1,91,MB,0.9931968335733278
1,91,MF,0.9366813041117359
1,92,MB,0.9889225190239068
1,92,MF,0.9922944688066649
1,93,MB,0.9892136710359617
1,93,MF,0.9951985081833211
1,94,MB,0.9875427103444188
1,94,MF,0.9992231672232549
1,95,MB,0.9904047112173613
1,95,MF,0.028001430475197958
1,96,MB,0.9867538378464608
1,96,MF,0.9883129692442729
1,97,MB,0.9905850706314854
1,97,MF,0.99199622178507
1,98,MB,0.9804810526288575
1,98,MF,0.9329231249987535
1,99,MB,0.9906296170139166
1,99,MF,0.9922945466097858
2,0,MB,0.9827634101854313
2,0,MF,0.01269893523424485
2,1,MB,0.9812751149062977
2,1,MF,0.89668164166739
2,2,MB,0.9637909199332662
2,2,MF,0.5571476260596886
2,3,MB,0.9795002235549085
2,3,MF,0.26501121472901734
2,4,MB,0.9759514354453098
2,4,MF,0.008086851709108419
2,5,MB,0.9781177399060975
2,5,MF,0.0033776268411298536
2,6,MB,0.9751804974547623
2,6,MF,0.9803427816123764
2,7,MB,0.9829692270170494
2,7,MF,0.012715506994617279
2,8,MB,0.9728436090383898
2,8,MF,0.010535412371302188
2,9,MB,0.9706500284917103
2,9,MF,0.9867061808773152
2,10,MB,0.9750908091925613
2,10,MF,0.005982756592950932
2,11,MB,0.9714398243187814
2,11,MF,0.9803281063372417
2,12,MB,0.9747518578350893
2,12,MF,0.006346033552510744
2,13,MB,0.9573154798868435
2,13,MF,0.9803245275735197
2,14,MB,0.9664352462210882
2,14,MF,0.0038034797234327345
2,15,MB,0.9778048208435527
2,15,MF,0.006343007288125149
2,16,MB,0.9726915737989982
2,16,MF,0.9868880120798538
2,17,MB,0.9731956080299012
2,17,MF,0.9874140663510221
2,18,MB,0.9777503388267231
2,18,MF,0.9984266129951556
2,19,MB,0.9822860366858309
2,19,MF,0.9799968098910454
