agent_type,rep_n,train_n,uncertainty
MB,0,33,0.24066454234237278
MB,0,34,0.23939176601828083
MB,0,35,0.23821659204336887
MB,0,36,0.23785187867618285
MB,0,37,0.2367882403970587
MB,0,38,0.23580264436507492
MB,0,39,0.23488792059687857
MB,0,40,0.23460793547110836
MB,0,41,0.23377491028803155
MB,0,42,0.23352879868468301
MB,0,43,0.2327682453373061
MB,0,44,0.23276824530711848
MB,0,45,0.23276824529970674
MB,0,46,0.2320594994675046
MB,0,47,0.23185527236700154
MB,0,48,0.23120594926532745
MB,0,49,0.23059949759243425
MB,0,50,0.23003250940647701
MB,0,51,0.22950191384202734
MB,0,52,0.22900493608776373
MB,0,53,0.22886194248590175
MB,0,54,0.22872720413814907
MB,0,55,0.22827683950318023
MB,0,56,0.22815684018923432
MB,0,57,0.22804362798942202
MB,0,58,0.2276339262217444
MB,0,59,0.22724933767474065
MB,0,60,0.2268880747932428
MB,0,61,0.22654850458979492
MB,0,62,0.2262291322711999
MB,0,63,0.22614814473974365
MB,0,64,0.225851921524735
MB,0,65,0.22557302254618417
MB,0,66,0.22557302254618372
MB,0,67,0.2253103034717583
MB,0,68,0.22506270959040742
MB,0,69,0.2248292673008655
MB,0,70,0.2248292673008655
MB,0,71,0.2246090765674419
MB,0,72,0.22440130421543625
MB,0,73,0.22420517795755812
MB,0,74,0.22401998105864884
MB,0,75,0.22384504755929924
MB,0,76,0.2236797579901585
MB,0,77,0.22352353551816873
MB,0,78,0.22337584247392817
MB,0,79,0.2232361772161957
MB,0,80,0.22310407129528653
MB,0,81,0.2229790868820708
MB,0,82,0.22286081443348071
MB,0,83,0.2227488705690832
MB,0,84,0.22264289613637223
MB,0,85,0.222642896136372
MB,0,86,0.22254255444515236
MB,0,87,0.2224475296537065
MB,0,88,0.22235752529145336
MB,0,89,0.22227226290459068
MB,0,90,0.2221914808127161
MB,0,91,0.2221149329657861
MB,0,92,0.22204238789192599
MB,0,93,0.2219736277276415
MB,0,94,0.2219084473228784
MB,0,95,0.22184665341418586
MB,0,96,0.22184665341418586
MB,0,97,0.2217880638599119
MB,0,98,0.2217325069320104
MB,0,99,0.22167982065956982
MB,0,100,0.22162985221965492
MB,0,101,0.22158245737150362
MB,0,102,0.22153749993048755
MB,0,103,0.2214948512785917
MB,0,104,0.221454389908481
MB,0,105,0.22141600099848213
MB,0,106,0.22137957601606872
