rep_n,agent_type,phase,lever_rate
60,MF,post,0.95
60,MB,pre,0.93
60,MB,post,0.53
61,MF,pre,0.93
61,MF,post,0.93
61,MB,pre,0.92
61,MB,post,0.5
62,MF,pre,0.95
62,MF,post,0.94
62,MB,pre,0.9
62,MB,post,0.46
63,MF,pre,0.91
63,MF,post,0.93
63,MB,pre,0.85
63,MB,post,0.53
64,MF,pre,0.86
64,MF,post,0.92
64,MB,pre,0.9
64,MB,post,0.42
65,MF,pre,0.93
65,MF,post,0.96
65,MB,pre,0.85
65,MB,post,0.49
66,MF,pre,0.95
66,MF,post,0.92
66,MB,pre,0.89
66,MB,post,0.58
67,MF,pre,0.94
67,MF,post,0.95
67,MB,pre,0.88
67,MB,post,0.55
68,MF,pre,0.91
68,MF,post,0.92
68,MB,pre,0.89
68,MB,post,0.46
69,MF,pre,0.94
69,MF,post,0.97
69,MB,pre,0.91
69,MB,post,0.62
70,MF,pre,0.93
70,MF,post,0.9
70,MB,pre,0.93
70,MB,post,0.55
71,MF,pre,0.94
71,MF,post,0.98
71,MB,pre,0.94
71,MB,post,0.5
72,MF,pre,0.95
72,MF,post,0.95
72,MB,pre,0.91
72,MB,post,0.5
73,MF,pre,0.94
73,MF,post,0.91
73,MB,pre,0.86
73,MB,post,0.47
74,MF,pre,0.92
74,MF,post,0.94
74,MB,pre,0.9
74,MB,post,0.54
75,MF,pre,0.9
75,MF,post,0.91
75,MB,pre,0.87
75,MB,post,0.46
76,MF,pre,0.85
76,MF,post,0.93
76,MB,pre,0.9
76,MB,post,0.54
77,MF,pre,0.92
77,MF,post,0.97
77,MB,pre,0.9
77,MB,post,0.5
78,MF,pre,0.92
78,MF,post,0.93
78,MB,pre,0.93
78,MB,post,0.43
79,MF,pre,0.93
79,MF,post,0.91
79,MB,pre,0.9
79,MB,post,0.45
80,MF,pre,0.97
80,MF,post,0.91
80,MB,pre,0.87
80,MB,post,0.47
81,MF,pre,0.95
81,MF,post,0.93
81,MB,pre,0.91
81,MB,post,0.46
82,MF,pre,0.92
82,MF,post,0.95
82,MB,pre,0.84
82,MB,post,0.57
83,MF,pre,0.93
83,MF,post,0.89
83,MB,pre,0.87
83,MB,post,0.48
84,MF,pre,0.85
84,MF,post,0.97
84,MB,pre,0.89
84,MB,post,0.56
85,MF,pre,0.98
85,MF,post,0.96
85,MB,pre,0.89
85,MB,post,0.49
86,MF,pre,0.96
86,MF,post,0.92
86,MB,pre,0.93
86,MB,post,0.46
87,MF,pre,0.92
87,MF,post,0.91
87,MB,pre,0.87
87,MB,post,0.4
88,MF,pre,0.93
88,MF,post,0.94
88,MB,pre,0.82
88,MB,post,0.48
89,MF,pre,0.92
89,MF,post,0.93
89,MB,pre,0.91
89,MB,post,0.51
90,MF,pre,0.91
90,MF,post,0.94
90,MB,pre,0.92
90,MB,post,0.47
91,MF,pre,0.93
91,MF,post,0.94
91,MB,pre,0.87
91,MB,post,0.43
92,MF,pre,0.9
92,MF,post,0.96
92,MB,pre,0.9
92,MB,post,0.48
93,MF,pre,0.92
93,MF,post,0.93
93,MB,pre,0.92
93,MB,post,0.43
94,MF,pre,0.94
94,MF,post,0.95
