rep_n,train_n,addictive,agent_type,Q_lever,reward_value
0,0,True,MF,0,1
0,1,True,MF,0.0,1
0,2,True,MF,0.9090909090909092,1
0,3,True,MF,0.9090909090909092,1
0,4,True,MF,0.9107405706957152,1
0,5,True,MF,0.9023585049618261,1
0,6,True,MF,0.8973615676536174,1
0,7,True,MF,0.8948321777211881,1
0,8,True,MF,0.8936119767250523,1
0,9,True,MF,0.8930330056516157,1
0,10,True,MF,0.8927598932697051,1
0,11,True,MF,0.8926313281108947,1
0,12,True,MF,0.8925708519551495,1
0,13,True,MF,0.892542411873427,1
0,14,True,MF,0.8925290386270568,1
0,15,True,MF,0.8925227503976907,1
0,16,True,MF,0.8925197936467236,1
0,17,True,MF,0.892518403376299,1
0,18,True,MF,0.8925177496692527,1
0,19,True,MF,0.8925174422954745,1
0,20,True,MF,0.8684125602416828,1
0,21,True,MF,0.7546750911939382,1
0,22,True,MF,0.7052257068082552,1
0,23,True,MF,0.7052257068082552,1
0,24,True,MF,0.6819318349174504,1
0,25,True,MF,0.6708084018404181,1
0,26,True,MF,0.6655027548695304,1
0,27,True,MF,0.6629752695303937,1
0,28,True,MF,0.6617719084938598,1
0,29,True,MF,0.6611990954837068,1
0,30,True,MF,0.6609264500491165,1
0,31,True,MF,0.6607966804849671,1
0,32,True,MF,0.6607349152849707,1
0,33,True,MF,0.6607055175648203,1
0,34,True,MF,0.6606915254600494,1
0,35,True,MF,0.6606848657961523,1
0,36,True,MF,0.6606848657961523,1
0,37,True,MF,0.6606816960715542,1
0,38,True,MF,0.6606801874137842,1
0,39,True,MF,0.6606794693551102,1
0,40,True,MF,0.6606791275888945,1
0,41,True,MF,0.6606789649223181,1
0,42,True,MF,0.6606788874997589,1
0,43,True,MF,0.6606788506498245,1
0,44,True,MF,0.6606788331107805,1
0,45,True,MF,0.6606788247629212,1
0,46,True,MF,0.6606788207896857,1
0,47,True,MF,0.6606788188985899,1
0,48,True,MF,0.6606788179985068,1
0,49,True,MF,0.6470786154575793,1
0,0,True,MB,0.0,1
0,1,True,MB,0.0,1
0,2,True,MB,0.0,1
0,3,True,MB,0.5922988572171954,1
0,4,True,MB,0.5922988572171954,1
0,5,True,MB,0.5922988572171954,1
0,6,True,MB,0.6551209633485227,1
0,7,True,MB,0.6551209633485227,1
0,8,True,MB,0.6984113846390779,1
0,9,True,MB,0.7299606376901853,1
0,10,True,MB,0.7368256527034448,1
0,11,True,MB,0.7368256527034448,1
0,12,True,MB,0.7603041877833804,1
0,13,True,MB,0.7787686858055829,1
0,14,True,MB,0.7787686858055829,1
0,15,True,MB,0.7936800021411544,1
0,16,True,MB,0.8059737943809641,1
0,17,True,MB,0.8162796430950345,1
0,18,True,MB,0.8248577891510042,1
0,19,True,MB,0.8324172466979397,1
0,20,True,MB,0.8347176400890057,1
0,21,True,MB,0.6415552938763434,1
0,22,True,MB,0.6429559148038698,1
0,23,True,MB,0.6211713280558002,1
0,24,True,MB,0.621252817404528,1
0,25,True,MB,0.6238657453426638,1
0,26,True,MB,0.6238657453426638,1
0,27,True,MB,0.6247669119710458,1
0,28,True,MB,0.6247669119710458,1
0,29,True,MB,0.627356831629023,1
0,30,True,MB,0.6281089480545436,1
0,31,True,MB,0.6281089480545436,1
0,32,True,MB,0.6287974089018931,1
0,33,True,MB,0.6310511482279123,1
0,34,True,MB,0.6330894581720538,1
0,35,True,MB,0.6349359929952799,1
0,36,True,MB,0.6366143302958054,1
0,37,True,MB,0.6370779411521842,1
0,38,True,MB,0.6370779411521842,1
0,39,True,MB,0.6385753850085198,1
0,40,True,MB,0.6399449223720178,1
0,41,True,MB,0.6412008670114095,1
0,42,True,MB,0.6423554730455314,1
0,43,True,MB,0.6423554730455314,1
0,44,True,MB,0.6434192972052794,1
0,45,True,MB,0.6444014869899511,1
0,46,True,MB,0.6453100114667688,1
0,47,True,MB,0.645574997741138,1
0,48,True,MB,0.6464000797143789,1
0,49,True,MB,0.6471658482226786,1
0,0,False,MF,0,1
0,1,False,MF,0.0,1
0,2,False,MF,0.5,1
0,3,False,MF,0.5,1
0,4,False,MF,0.8310958159635298,1
0,5,False,MF,0.85482269299048,1
0,6,False,MF,0.8547032989177851,1
0,7,False,MF,0.8517076026578424,1
0,8,False,MF,0.8493572186718019,1
0,9,False,MF,0.8479563848014471,1
0,10,False,MF,0.8479563848014471,1
0,11,False,MF,0.8472127858226093,1
0,12,False,MF,0.8370835042072741,1
0,13,False,MF,0.8370835042072741,1
0,14,False,MF,0.8433151357747304,1
0,15,False,MF,0.8454361134345791,1
0,16,False,MF,0.8454361134345791,1
0,17,False,MF,0.8461531907684996,1
0,18,False,MF,0.8463933619595093,1
0,19,False,MF,0.846472737798922,1
0,20,False,MF,0.846472737798922,1
0,21,False,MF,0.5681895978774467,1
0,22,False,MF,0.5681895978774467,1
0,23,False,MF,0.12687007849211515,1
0,24,False,MF,0.04480967531579321,1
0,25,False,MF,-0.036080128030683445,1
0,26,False,MF,-0.05679238014314124,1
0,27,False,MF,-0.05679238014314124,1
0,28,False,MF,-0.05679238014314124,1
0,29,False,MF,-0.05679238014314124,1
0,30,False,MF,-0.05679238014314124,1
0,31,False,MF,-0.02058642493154465,1
0,32,False,MF,-0.049920783684271774,1
0,33,False,MF,-0.049920783684271774,1
0,34,False,MF,-0.049920783684271774,1
0,35,False,MF,-0.05983321459693336,1
0,36,False,MF,-0.021967826564940052,1
0,37,False,MF,-0.021967826564940052,1
0,38,False,MF,-0.021967826564940052,1
0,39,False,MF,-0.021967826564940052,1
0,40,False,MF,-0.049863573472561123,1
0,41,False,MF,-0.018190353780871336,1
0,42,False,MF,-0.018190353780871336,1
0,43,False,MF,-0.018190353780871336,1
0,44,False,MF,-0.04849939029417234,1
0,45,False,MF,-0.04849939029417234,1
0,46,False,MF,-0.04849939029417234,1
0,47,False,MF,-0.017697089547070066,1
0,48,False,MF,-0.0062518245902871625,1
0,49,False,MF,-0.0062518245902871625,1
0,0,False,MB,0.0,1
0,1,False,MB,0.0,1
0,2,False,MB,0.5192892110483085,1
0,3,False,MB,0.5192892110483085,1
0,4,False,MB,0.5966111238748821,1
0,5,False,MB,0.6457464520770955,1
0,6,False,MB,0.6807888454667375,1
0,7,False,MB,0.7076808309415552,1
0,8,False,MB,0.7164225463619047,1
0,9,False,MB,0.7360580214447351,1
0,10,False,MB,0.7519092015885027,1
0,11,False,MB,0.7519092015885027,1
0,12,False,MB,0.7649642342605797,1
0,13,False,MB,0.7758890330905319,1
0,14,False,MB,0.7849692364471559,1
0,15,False,MB,0.7849692364471559,1
0,16,False,MB,0.7929440864574974,1
0,17,False,MB,0.7958023665949312,1
0,18,False,MB,0.8023695271747626,1
0,19,False,MB,0.8081100829640362,1
0,20,False,MB,0.810098377069263,1
0,21,False,MB,-0.005164351227359525,1
0,22,False,MB,-0.0046765675589637195,1
0,23,False,MB,-0.06802678867362937,1
0,24,False,MB,-0.0626736823819745,1
0,25,False,MB,-0.08320508028794293,1
0,26,False,MB,-0.08188133673800092,1
0,27,False,MB,-0.08086506722947506,1
0,28,False,MB,-0.08006143634897156,1
0,29,False,MB,-0.07941090380985487,1
0,30,False,MB,-0.07414426453092128,1
0,31,False,MB,-0.06991225774273063,1
0,32,False,MB,-0.06643215372532296,1
0,33,False,MB,-0.07220754842994452,1
0,34,False,MB,-0.0741404556148291,1
0,35,False,MB,-0.07089233730435325,1
0,36,False,MB,-0.07141140900866225,1
0,37,False,MB,-0.07145443331422521,1
0,38,False,MB,-0.06868205393229634,1
0,39,False,MB,-0.06823543417653324,1
0,40,False,MB,-0.0678610626144322,1
0,41,False,MB,-0.06743565131187987,1
0,42,False,MB,-0.0673237439799854,1
0,43,False,MB,-0.06716375545195019,1
0,44,False,MB,-0.06689968343386132,1
0,45,False,MB,-0.06667038294928038,1
0,46,False,MB,-0.06438087180356183,1
0,47,False,MB,-0.06418772576819856,1
0,48,False,MB,-0.06220860310700871,1
0,49,False,MB,-0.06047635367852401,1
1,0,True,MF,0,1
1,1,True,MF,0.0,1
1,2,True,MF,0.0,1
1,3,True,MF,0.0,1
1,4,True,MF,0.0,1
1,5,True,MF,0.0,1
1,6,True,MF,0.0,1
1,7,True,MF,0.0,1
1,8,True,MF,0.0,1
1,9,True,MF,0.0,1
1,10,True,MF,0.0,1
1,11,True,MF,0.0,1
1,12,True,MF,0.0,1
1,13,True,MF,0.0,1
1,14,True,MF,0.0,1
1,15,True,MF,0.0,1
1,16,True,MF,0.5975475707623686,1
1,17,True,MF,0.7710822559827094,1
1,18,True,MF,0.8369714091246244,1
1,19,True,MF,0.8665735847826134,1
1,20,True,MF,0.8803409808110422,1
1,21,True,MF,0.7639259299346564,1
1,22,True,MF,0.7097792894180415,1
1,23,True,MF,0.6840527257708838,1
1,24,True,MF,0.6718051932749932,1
1,25,True,MF,0.6659747790239808,1
1,26,True,MF,0.6631995220087207,1
1,27,True,MF,0.6618785759631671,1
1,28,True,MF,0.6618785759631671,1
1,29,True,MF,0.6612498539383244,1
1,30,True,MF,0.6612498539383244,1
1,31,True,MF,0.6609506072430941,1
1,32,True,MF,0.6608081780348348,1
1,33,True,MF,0.660740387599357,1
1,34,True,MF,0.6471079200403086,1
1,35,True,MF,0.6471079200403086,1
1,36,True,MF,0.6601718005130035,1
1,37,True,MF,0.6611951120859908,1
1,38,True,MF,0.6610418155142672,1
1,39,True,MF,0.647263157285107,1
1,40,True,MF,0.6602428816555099,1
1,41,True,MF,0.6612291480248416,1
1,42,True,MF,0.661058102022338,1
1,43,True,MF,0.6608779329902995,1
1,44,True,MF,0.6608779329902995,1
1,45,True,MF,0.6607765374300968,1
1,46,True,MF,0.6607765374300968,1
1,47,True,MF,0.6607257954511873,1
1,48,True,MF,0.6607012509411425,1
1,49,True,MF,0.6607012509411425,1
1,0,True,MB,0.0,1
1,1,True,MB,0.0,1
1,2,True,MB,0.0,1
1,3,True,MB,0.565562507082316,1
1,4,True,MB,0.565562507082316,1
1,5,True,MB,0.6277191771765769,1
1,6,True,MB,0.6747671217016014,1
1,7,True,MB,0.7102451907509133,1
1,8,True,MB,0.7380139491113844,1
1,9,True,MB,0.7380139491113844,1
1,10,True,MB,0.7599862313007767,1
1,11,True,MB,0.7675344736660286,1
1,12,True,MB,0.7840452151647296,1
1,13,True,MB,0.7840452151647296,1
1,14,True,MB,0.7976536417367435,1
1,15,True,MB,0.8090441551931187,1
1,16,True,MB,0.8185120892756161,1
1,17,True,MB,0.8185120892756161,1
1,18,True,MB,0.8185120892756161,1
1,19,True,MB,0.8268276458989962,1
1,20,True,MB,0.8298080641626753,1
1,21,True,MB,0.6382152483947618,1
1,22,True,MB,0.6170846560931755,1
1,23,True,MB,0.6175887125152687,1
1,24,True,MB,0.620553034561049,1
1,25,True,MB,0.6235260892231922,1
1,26,True,MB,0.6262327526159289,1
1,27,True,MB,0.6286740022360107,1
1,28,True,MB,0.6286740022360107,1
1,29,True,MB,0.6308804087079674,1
1,30,True,MB,0.6328813053827615,1
1,31,True,MB,0.6347017920046293,1
1,32,True,MB,0.6363631316331623,1
1,33,True,MB,0.6378834138571592,1
1,34,True,MB,0.639278120873841,1
1,35,True,MB,0.6398255410660569,1
1,36,True,MB,0.6403310358497497,1
1,37,True,MB,0.6403310358497497,1
1,38,True,MB,0.641535330355399,1
1,39,True,MB,0.6426461394853216,1
1,40,True,MB,0.6430495325980717,1
1,41,True,MB,0.6440480792331198,1
1,42,True,MB,0.6449727624437985,1
1,43,True,MB,0.6452986665635642,1
1,44,True,MB,0.6461347732734641,1
1,45,True,MB,0.6469115952194977,1
1,46,True,MB,0.6476343221042258,1
1,47,True,MB,0.6483075732093182,1
1,48,True,MB,0.648540992142512,1
1,49,True,MB,0.6491544118725487,1
1,0,False,MF,0,1
1,1,False,MF,0.5,1
1,2,False,MF,0.8310958159635298,1
1,3,False,MF,0.85482269299048,1
1,4,False,MF,0.8547032989177851,1
1,5,False,MF,0.8517076026578424,1
1,6,False,MF,0.8493572186718019,1
1,7,False,MF,0.8479563848014471,1
1,8,False,MF,0.8472127858226093,1
1,9,False,MF,0.8468421688255723,1
1,10,False,MF,0.8466642665950085,1
1,11,False,MF,0.8465808291035699,1
1,12,False,MF,0.8465422539796085,1
1,13,False,MF,0.846524574098658,1
1,14,False,MF,0.8367456410899968,1
1,15,False,MF,0.843119557752372,1
